Equipo,Jugador,Posición,Puntos,Precio,PJ,Casa,Fuera,Media,Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
Osasuna,Sergio Herrera,Portero,144,10000000,32,14,18,4.5,sergio-herrera,CA Osasuna,7.003125,224.1,0,0,0.0,0.08140526,670,412,1082,0,2,0,0,0,2870,32,294377
Valencia,Javi Guerra,Centrocampista,143,13000000,36,18,18,3.97,javier-guerra,Valencia CF,6.7085714285714,234.8,4,1,2.6626,1.91369003,684,240,924,37,3,1,14,42,2481,35,1122610
Athletic,Yuri,Defensa,142,15000000,27,14,13,5.26,pedri,Barcelona,7.2217391304348,166.1,4,2,2.5708,3.9504189,955,137,1092,15,3,0,6,13,1397,23,992587
Rayo Vallecano,Óscar Valentín,Centrocampista,142,15000000,34,16,18,4.18,oscar-valentin,Rayo Vallecano,6.8558823529412,233.1,1,0,1.6754,0.65731685,1003,224,1227,7,5,1,7,15,2701,34,900008
Getafe,Diego Rico,Defensa,142,11000000,32,15,17,4.44,diego-rico,Getafe CF,6.953125,222.5,0,7,0.3229,3.42579966,704,340,1044,11,10,0,5,18,2536,32,350560
Osasuna,Rubén García,Centrocampista,139,13000000,30,14,16,4.63,ruben-garcia,CA Osasuna,6.9793103448276,202.4,3,2,2.2819,3.54494385,484,182,666,18,1,0,10,28,1553,30,260031
Alavés,Guevara,Centrocampista,139,9000000,37,18,19,3.76,javier-guerra,Valencia CF,6.7085714285714,234.8,4,1,2.6626,1.91369003,684,240,924,37,3,1,14,42,2481,35,1122610
Real Madrid,Tchouameni,Centrocampista,138,31000000,27,12,15,5.11,aurelien-tchouameni,Real Madrid,7.1814814814815,193.9,3,1,1.2526,1.4459605,1371,119,1490,6,7,0,7,27,1992,27,859025
Las Palmas,Álex Suárez,Defensa,137,10000000,32,16,16,4.28,alex-suarez,Las Palmas,6.89,206.7,2,0,1.3628,0.59298945,1235,182,1417,11,7,0,5,7,2501,31,914848
Sevilla,Nyland,Portero,135,8000000,24,11,13,5.63,orjan-nyland,Sevilla FC,7.0695652173913,162.6,0,0,0.0,0.0359518,359,291,650,0,1,0,0,0,2070,23,22209
Barcelona,Ferran Torres,Delantero,134,27000000,29,15,14,4.62,ferran-torres,Barcelona,6.9259259259259,187.0,7,2,5.5106,1.80653551,325,82,407,10,2,0,15,38,1185,28,855833
Celta,Unai Núñez,Defensa,134,15000000,34,15,19,3.94,unai-nunez,Celta de Vigo,6.9352941176471,235.8,1,0,1.4401,1.03447231,1300,328,1628,10,4,0,5,22,2802,34,892521
Athletic,De Marcos,Defensa,134,14000000,28,15,13,4.79,pena-marcos,Almería,6.8428571428571,47.9,0,0,0.1729,0.02507911,188,29,217,0,3,0,1,4,439,7,1493216
Osasuna,Aimar Oroz,Centrocampista,134,14000000,33,16,17,4.06,aimar-oroz,CA Osasuna,6.840625,218.9,2,1,3.4097,2.14376163,808,171,979,26,3,0,6,23,2270,32,985329
Alavés,Gorosabel,Defensa,134,12000000,36,17,19,3.72,igor-zubeldia,Real Sociedad,6.8466666666667,205.4,0,2,0.7605,0.80991156,1475,260,1735,4,11,1,0,12,2524,30,838159
Alavés,Javi López,Defensa,134,9000000,32,17,15,4.19,unai-lopez,Rayo Vallecano,6.8176470588235,231.8,1,2,1.1148,2.61091829,1105,205,1310,22,9,0,5,29,2045,34,588566
Celta,Guaita,Portero,133,10000000,27,12,15,4.93,gavi,Barcelona,7.1333333333333,85.6,1,1,0.9486,1.37264491,481,45,526,12,5,0,4,9,943,12,1103693
Mallorca,Abdón Prats,Delantero,133,9000000,34,18,16,3.91,abdon-prats,RCD Mallorca,6.830303030303,225.4,6,1,3.1826,1.19593133,129,98,227,8,3,0,13,32,1218,33,146852
Mallorca,Giovanni,Defensa,132,9000000,34,19,15,3.88,giovanni-gonzalez,RCD Mallorca,6.7636363636364,223.2,1,1,0.4533,1.89604171,770,227,997,15,7,0,4,14,2463,34,590404
Athletic,Paredes,Defensa,132,8000000,34,16,18,3.88,aitor-paredes,Athletic Club,6.7969696969697,224.3,1,0,1.1865,0.3558216,1305,210,1515,2,7,1,3,14,2626,33,959872
Atlético,Hermoso,Defensa,131,23000000,31,14,17,4.23,mario-hermoso,Atlético Madrid,7.0333333333333,211.0,0,1,1.3977,1.06374096,1548,226,1774,11,9,0,4,17,2536,30,353130
Atlético,Roro Riquelme,Centrocampista,131,17000000,34,17,17,3.85,rodrigo-riquelme,Atlético Madrid,6.8757575757576,226.9,3,5,2.7374,3.65760301,451,118,569,23,1,0,16,37,1494,33,989113
Getafe,Luis Milla,Centrocampista,131,15000000,27,13,14,4.85,luis-milla,Getafe CF,7.04,176.0,0,1,0.604,2.06422981,928,182,1110,11,6,0,5,15,2056,26,811629
Real Sociedad,Hamari Traoré,Defensa,130,21000000,31,16,15,4.19,hamari-traore,Real Sociedad,6.9166666666667,207.5,0,2,0.5418,2.2191657,989,184,1173,16,7,0,2,18,2206,30,362014
Las Palmas,Moleiro,Centrocampista,130,14000000,28,15,13,4.64,alberto-moleiro,Las Palmas,6.8037037037037,183.7,3,3,1.8829,2.63900574,542,122,664,52,0,0,8,30,1717,27,1012444
Real Sociedad,Barrenetxea,Centrocampista,130,12000000,29,16,13,4.48,ander-barrenetxea,Real Sociedad,6.8148148148148,184.0,4,1,3.5123,0.82464126,341,134,475,37,1,0,12,37,1379,28,966862
Betis,Rui Silva,Portero,129,13000000,28,14,14,4.61,rui-silva,Real Betis,7.1214285714286,199.4,0,0,0.0,0.01841307,552,284,836,1,4,0,0,0,2475,28,253809
Rayo Vallecano,Unai López,Centrocampista,129,10000000,35,19,16,3.69,unai-lopez,Rayo Vallecano,6.8176470588235,231.8,1,2,1.1148,2.61091829,1105,205,1310,22,9,0,5,29,2045,34,588566
Osasuna,Raul García de Haro,Delantero,129,10000000,35,18,17,3.69,raul-garcia-de-haro,CA Osasuna,6.7088235294118,228.1,6,1,4.7095,0.80032528,184,106,290,6,4,0,11,30,1342,34,997280
Alavés,Kike García,Delantero,129,9000000,33,17,16,3.91,kike-barja,CA Osasuna,6.58,98.7,0,0,0.2239,0.38034711,78,12,90,11,3,0,2,4,314,16,591132
Celta,Bamba,Delantero,125,41000000,27,13,14,4.63,jonathan-bamba,Celta de Vigo,6.9962962962963,188.9,3,2,2.9863,3.70029791,567,136,703,42,0,0,16,41,1993,27,595576
Getafe,Mata,Delantero,125,9000000,35,19,16,3.57,marcao,Sevilla FC,6.76,33.8,0,0,,0.04878714,164,17,181,1,2,0,0,0,309,6,840951
Getafe,Gastón Álvarez,Defensa,125,7000000,34,17,17,3.68,gaston-alvarez,Getafe CF,6.7606060606061,223.1,1,0,0.6654,0.3586529,656,206,862,9,7,0,2,13,2463,33,980578
Barcelona,Ronald Araújo,Defensa,124,29000000,25,12,13,4.96,ronald-araujo,Barcelona,7.028,175.7,1,2,2.1166,1.74412614,1423,165,1588,8,6,0,9,23,1994,25,925097
Barcelona,Christensen,Defensa,124,26000000,30,16,14,4.13,andreas-christensen,Barcelona,6.8896551724138,199.8,2,2,0.9389,0.78907809,1436,89,1525,3,4,0,4,11,1945,29,186795
Sevilla,Suso,Delantero,124,15000000,29,16,13,4.28,suso,Sevilla FC,7.0344827586207,204.0,1,4,1.376,4.93018268,645,111,756,27,5,1,6,26,1514,29,96370
Valencia,Correia,Defensa,124,12000000,31,15,16,4.0,correia-thierry,Valencia CF,6.8733333333333,206.2,0,2,0.6243,2.38158513,759,235,994,21,4,1,2,5,2093,30,851282
Rayo Vallecano,Pathé Ciss,Centrocampista,124,9000000,31,14,17,4.0,ismaila-ciss,Rayo Vallecano,6.8866666666667,206.6,1,0,1.5123,0.6444418,688,136,824,16,10,0,8,22,1585,30,913679
Osasuna,Iker Muñoz,Centrocampista,124,7000000,28,14,14,4.43,iker-munoz,CA Osasuna,6.8538461538462,178.2,4,0,1.065,0.42690283,704,221,925,5,4,0,6,23,1766,27,1119586
Barcelona,Pedri,Centrocampista,123,46000000,24,11,13,5.13,pedri,Barcelona,7.2217391304348,166.1,4,2,2.5708,3.9504189,955,137,1092,15,3,0,6,13,1397,23,992587
Osasuna,Moi Gómez,Centrocampista,123,19000000,28,16,12,4.39,moi-gomez,CA Osasuna,6.9074074074074,186.5,3,0,1.7213,1.85843916,916,179,1095,17,3,0,8,19,1986,27,149370
Betis,Guido Rodríguez,Centrocampista,122,29000000,24,11,13,5.08,guido-rodriguez,Real Betis,7.0166666666667,168.4,2,0,0.6731,0.78789681,887,145,1032,10,6,0,7,18,1849,24,609752
Sevilla,Pedrosa,Defensa,122,9000000,31,15,16,3.94,adria-pedrosa,Sevilla FC,6.8655172413793,199.1,1,4,0.6416,1.85154978,493,137,630,12,1,0,2,14,1680,30,928672
Las Palmas,Munir,Delantero,121,12000000,38,19,19,3.18,unai-garcia,CA Osasuna,6.5375,52.3,1,0,0.1122,0.02080134,154,38,192,0,3,1,1,2,548,8,330675
Celta,Starfelt,Defensa,121,12000000,27,13,14,4.48,carl-starfelt,Celta de Vigo,6.9851851851852,188.6,1,0,1.4008,0.11235351,906,125,1031,0,4,0,5,12,2218,27,360718
Celta,Douvikas,Delantero,120,20000000,32,17,15,3.75,douvikas-anastasios,Celta de Vigo,6.7793103448276,196.6,6,1,4.0868,0.63843626,96,59,155,9,2,0,13,23,878,31,894863
Osasuna,Torró,Centrocampista,120,16000000,28,14,14,4.29,vitor-roque,Barcelona,6.5076923076923,84.6,2,0,2.5387,0.04029001,45,14,59,4,2,1,6,13,304,13,1150391
Real Madrid,Lunin,Portero,120,9000000,21,10,11,5.71,andriy-lunin,Real Madrid,7.1952380952381,151.1,0,0,0.0,0.00861744,485,84,569,0,2,0,0,0,1890,21,857574
Getafe,Djené,Defensa,118,13000000,33,16,17,3.58,djene,Getafe CF,6.7125,214.8,0,0,0.1261,0.66982368,793,219,1012,18,12,1,1,6,2419,32,307702
Alavés,Benavidez,Centrocampista,118,9000000,29,16,13,4.07,benito-ramirez,Las Palmas,6.6,118.8,1,0,0.3742,0.28963587,111,28,139,2,0,0,3,10,360,19,868223
Las Palmas,Loiodice,Centrocampista,117,11000000,34,17,17,3.44,loiodice-enzo,Las Palmas,6.8290322580645,211.7,0,1,0.4985,1.83025692,910,172,1082,28,2,0,6,15,1767,33,933426
Real Madrid,Fran García,Defensa,116,22000000,25,11,14,4.64,fran-garcia,Real Madrid,6.95,166.8,1,5,0.5086,1.83855494,722,91,813,8,2,0,1,9,1409,25,851271
Alavés,Rubén Duarte,Defensa,116,10000000,28,13,15,4.14,domingos-duarte,Getafe CF,6.4666666666667,97.0,0,0,0.2651,0.12561504,292,84,376,1,3,2,0,1,921,15,576276
Alavés,Rafa Marín,Defensa,116,9000000,33,15,18,3.52,rafa-mir,Sevilla FC,6.6933333333333,100.4,2,0,1.4265,0.09371746,60,25,85,2,1,0,7,15,404,15,825754
Barcelona,De Jong,Centrocampista,115,43000000,20,9,11,5.75,frenkie-de-jong,Barcelona,7.445,148.9,2,0,0.6997,4.8796073,1526,113,1639,13,7,0,4,7,1637,20,795222
Atlético,Saúl,Centrocampista,115,21000000,34,17,17,3.38,fali,Cádiz CF,6.8310344827586,198.1,0,0,0.8056,0.23892664,745,231,976,3,11,0,3,11,2460,29,349794
Betis,Marc Roca,Centrocampista,115,16000000,26,12,14,4.42,marc-roca,Real Betis,6.972,174.3,2,2,1.144,1.66854933,945,166,1111,9,5,0,7,20,1896,25,847128
Osasuna,Rubén Peña,Defensa,115,9000000,29,14,15,3.97,ruben-pena,CA Osasuna,6.7571428571429,189.2,0,1,0.8631,2.43007012,477,191,668,34,2,0,4,16,2015,28,255973
Sevilla,Kike Salas,Defensa,115,9000000,24,11,13,4.79,kike-salas,Sevilla FC,6.9227272727273,152.3,3,0,0.8452,0.58546736,742,197,939,0,9,0,5,16,1572,22,1097719
Real Sociedad,Zubeldia,Defensa,114,19000000,30,15,15,3.8,igor-zubeldia,Real Sociedad,6.8466666666667,205.4,0,2,0.7605,0.80991156,1475,260,1735,4,11,1,0,12,2524,30,838159
Osasuna,Moncayola,Centrocampista,114,16000000,33,16,17,3.45,jon-moncayola,CA Osasuna,6.75,216.0,1,3,0.6079,2.46348209,741,170,911,6,2,1,5,16,1792,32,976141
Rayo Vallecano,De Frutos,Centrocampista,114,16000000,36,19,17,3.17,jorge-de-frutos,Rayo Vallecano,6.6457142857143,232.6,2,0,2.4675,1.02681992,299,92,391,15,1,0,11,27,1495,35,900003
Villarreal,Akhomach,Delantero,114,10000000,31,15,16,3.68,ilias-akhomach,Villarreal CF,6.7666666666667,203.0,2,2,3.171,2.51240033,353,86,439,56,4,0,7,30,1510,30,1089108
Alavés,Antonio Blanco,Centrocampista,114,9000000,33,16,17,3.45,antonio-sanchez,RCD Mallorca,6.7035714285714,187.7,3,1,2.5313,1.75934338,339,125,464,14,3,0,9,23,1419,28,949722
Villarreal,Cuenca,Defensa,114,9000000,29,14,15,3.93,jorge-cuenca,Villarreal CF,6.8392857142857,191.5,3,1,1.2247,0.74683382,901,169,1070,7,7,0,7,20,1906,28,868715
Real Madrid,Nacho,Defensa,113,14000000,29,14,15,3.9,jon-pacheco,Real Sociedad,6.8380952380952,143.6,1,1,1.0574,0.334432199,929,141,1070,4,7,0,3,6,1440,22,934383
Mallorca,Morlanes,Centrocampista,113,11000000,35,18,17,3.23,manu-morlanes,RCD Mallorca,6.7969696969697,224.3,0,1,1.0461,1.99605203,614,113,727,20,2,0,4,11,1540,34,826004
Osasuna,David García,Defensa,112,24000000,27,14,13,4.15,david-garcia,CA Osasuna,6.962962962963,188.0,0,1,0.9503,0.99308428,1101,224,1325,3,5,0,2,15,2336,27,591136
Celta,Fran Beltrán,Centrocampista,112,16000000,33,16,17,3.39,fran-beltran,Celta de Vigo,6.7677419354839,209.8,0,0,0.7071,1.69675642,1113,166,1279,12,2,0,3,20,2354,32,835484
Mallorca,Larin,Delantero,112,13000000,35,18,17,3.2,cyle-larin,RCD Mallorca,6.7176470588235,228.4,3,2,9.0507,0.54363973,181,98,279,14,8,0,26,69,1796,34,790179
Villarreal,Capoue,Centrocampista,111,16000000,32,17,15,3.47,etienne-capoue,Villarreal CF,6.76875,216.6,1,1,1.0188,1.01900282,693,105,798,22,8,0,5,14,1466,32,16701
Rayo Vallecano,Balliu,Defensa,111,12000000,33,16,17,3.36,ivan-balliu,Rayo Vallecano,6.8212121212121,225.1,0,1,0.6803,2.29865019,799,239,1038,7,4,0,4,11,2876,33,152446
Atlético,Barrios,Centrocampista,111,9000000,24,11,13,4.63,pablo-barrios,Atlético Madrid,6.9875,167.7,0,1,0.926,1.02983448,724,119,843,35,5,0,7,17,1556,24,1142588
Valencia,Gayà,Defensa,110,27000000,24,14,10,4.58,gavi,Barcelona,7.1333333333333,85.6,1,1,0.9486,1.37264491,481,45,526,12,5,0,4,9,943,12,1103693
Rayo Vallecano,Pacha Espino,Defensa,109,18000000,31,13,18,3.52,alfonso-espino,Rayo Vallecano,6.7548387096774,209.4,0,1,1.0047,2.85621566,834,276,1110,24,9,0,5,18,2512,31,542634
Sevilla,Soumaré,Centrocampista,109,17000000,28,14,14,3.89,boubakary-soumare,Sevilla FC,6.8592592592593,185.2,0,0,0.0232,0.49472975,1067,116,1183,19,10,0,0,1,2204,27,887581
Betis,Miranda,Defensa,109,15000000,25,14,11,4.36,juan-miranda,Real Betis,7.0,168.0,1,1,1.4895,2.1199885,724,154,878,7,8,0,5,14,1770,24,855829
Las Palmas,Saúl Coco,Defensa,109,9000000,30,15,15,3.63,saul-coco,Las Palmas,6.6892857142857,187.3,1,0,1.0521,0.15232852,1195,148,1343,3,6,1,4,20,2203,29,1089453
Valencia,Fran Pérez,Delantero,109,7000000,32,16,16,3.41,fran-perez,Valencia CF,6.640625,212.5,1,4,1.0697,2.12083052,423,106,529,40,4,0,2,20,2069,32,966637
Alavés,Alex Sola,Centrocampista,108,9000000,31,17,14,3.48,alex-suarez,Las Palmas,6.89,206.7,2,0,1.3628,0.59298945,1235,182,1417,11,7,0,5,7,2501,31,914848
Real Sociedad,Turrientes,Centrocampista,108,8000000,29,15,14,3.72,benat-turrientes,Real Sociedad,6.7285714285714,188.4,0,1,1.164,0.52091288,555,88,643,21,4,0,10,22,1619,28,980410
Las Palmas,Sandro,Delantero,107,11000000,27,14,13,3.96,sandro-ramirez,Las Palmas,6.9423076923077,180.5,1,3,3.3827,2.9872451,473,96,569,20,3,0,18,49,1739,26,188407
Las Palmas,Marvin,Centrocampista,107,9000000,31,15,16,3.45,park-marvin,Las Palmas,6.6709677419355,206.8,0,2,0.9578,2.04810705,509,129,638,19,5,0,3,14,1852,31,960401
Villarreal,Alberto Moreno,Defensa,106,9000000,27,13,14,3.93,alberto-moreno,Villarreal CF,6.7888888888889,183.3,2,2,0.7319,1.76547633,496,98,594,5,1,2,5,17,1497,27,229740
Getafe,Latasa,Delantero,106,9000000,32,15,17,3.31,juanmi-latasa,Getafe CF,6.7870967741935,210.4,2,0,3.797,1.40863025,192,171,363,6,5,1,15,44,1565,32,966679
Barcelona,Cubarsi,Defensa,105,7000000,19,9,10,5.53,pau-cubarsi,Barcelona,7.0,126.0,0,0,0.0921,0.38415235,1289,119,1408,3,4,0,0,3,1472,18,1402913
Villarreal,Comesaña,Centrocampista,104,17000000,27,13,14,3.85,santi-comesana,Villarreal CF,6.75,175.5,2,0,1.8004,1.30306025,707,98,805,19,6,2,7,16,1571,26,843678
Las Palmas,Perrone,Centrocampista,104,9000000,29,13,16,3.59,maximo-perrone,Las Palmas,6.7448275862069,195.6,0,0,0.2374,1.15146761,1181,126,1307,11,6,0,3,7,1634,29,1086286
Mallorca,Antonio Sánchez,Centrocampista,104,8000000,29,13,16,3.59,antonio-sanchez,RCD Mallorca,6.7035714285714,187.7,3,1,2.5313,1.75934338,339,125,464,14,3,0,9,23,1419,28,949722
Osasuna,Pablo Ibáñez,Centrocampista,104,8000000,33,16,17,3.15,pablo-ibanez-lumbreras,CA Osasuna,6.6774193548387,207.0,1,2,2.2235,1.09287235,318,95,413,8,5,0,7,26,1107,32,1084381
Athletic,Beñat Prados,Centrocampista,104,8000000,26,13,13,4.0,benat-prados,Athletic Club,6.85,178.1,0,0,0.4863,1.00003732,652,130,782,12,1,0,4,7,1456,26,1012409
Sevilla,Badé,Defensa,103,17000000,28,15,13,3.68,loic-bade,Sevilla FC,7.0074074074074,189.2,0,1,0.9536,0.44194881,1069,224,1293,10,5,1,3,14,2204,27,1006489
Villarreal,Morales,Delantero,103,13000000,29,14,15,3.55,manu-morlanes,RCD Mallorca,6.7969696969697,224.3,0,1,1.0461,1.99605203,614,113,727,20,2,0,4,11,1540,34,826004
Valencia,Sergi Canós,Delantero,101,12000000,27,14,13,3.74,sergi-canos,Valencia CF,6.832,170.8,1,2,2.4844,1.47080371,226,104,330,17,2,0,17,40,1165,26,790833
Mallorca,Nastasić,Defensa,101,10000000,26,12,14,3.88,matija-nastasic,RCD Mallorca,6.9230769230769,180.0,2,0,1.0201,0.69530677,785,196,981,0,8,0,2,8,2265,26,98440
Athletic,Lekue,Defensa,101,9000000,27,11,16,3.74,inigo-lekue,Athletic Club,6.7346153846154,175.1,0,2,0.167,0.86024535,806,192,998,18,4,0,0,5,1911,26,801837
Athletic,Vesga,Centrocampista,100,16000000,27,14,13,3.7,mikel-vesga,Athletic Club,6.837037037037,184.6,3,1,2.7129,1.24667331,635,179,814,2,2,0,7,19,1545,27,359742
Osasuna,Catena,Defensa,100,16000000,30,15,15,3.33,carles-alena,Getafe CF,6.6464285714286,186.1,1,1,1.2436,1.03809802,287,65,352,6,6,0,5,16,993,28,794937
Sevilla,Jesús Navas,Defensa,99,12000000,29,15,14,3.41,jesus-navas,Sevilla FC,6.8689655172414,199.2,0,2,0.146,2.75024539,737,203,940,13,6,1,2,7,2010,29,11869
Getafe,Alderete,Defensa,99,12000000,32,14,18,3.09,omar-alderete,Getafe CF,6.7321428571429,188.5,0,1,1.2126,0.81966222,638,351,989,9,8,1,5,24,2104,30,805137
Osasuna,Mojica,Defensa,99,9000000,30,15,15,3.3,johan-mojica,CA Osasuna,6.7464285714286,188.9,0,3,1.0087,3.15607337,672,199,871,17,1,0,1,17,1951,29,344847
Rayo Vallecano,Trejo,Centrocampista,98,15000000,31,18,13,3.16,oscar-trejo,Rayo Vallecano,6.5633333333333,196.9,0,0,0.8225,2.09187594,596,105,701,31,4,1,2,16,1319,30,21949
Mallorca,Valjent,Defensa,98,14000000,28,14,14,3.5,martin-valjent,RCD Mallorca,6.7851851851852,183.2,0,1,0.3325,1.02738981,774,172,946,1,5,0,0,9,2264,27,300522
Las Palmas,Julián Araujo,Defensa,98,12000000,25,11,14,3.92,julian-araujo,Las Palmas,6.9916666666667,167.8,1,0,0.6757,0.93390001,575,115,690,12,5,0,2,7,1462,25,978150
Villarreal,Albiol,Defensa,98,12000000,26,13,13,3.77,raul-albiol,Villarreal CF,6.8115384615385,177.1,0,1,0.4483,0.61569331,1092,173,1265,0,6,0,1,6,2035,26,3041
Celta,De la Torre,Centrocampista,98,9000000,31,15,16,3.16,luca-de-la-torre,Celta de Vigo,6.6866666666667,200.6,1,4,2.4533,1.49374531,619,124,743,11,2,1,8,24,1956,31,846492
